KI	Trl	Block	Trl/Bl	Crit	Sex	Emo	PicID	Cue	StimPos	RT	Ans	Correct
5	1	1	1	0	m	n	24	right	right	3.15700006485	1	1
5	2	1	2	0	f	n	58	right	right	2.51800012589	2	1
5	3	1	3	0	f	n	58	left	right	3.125	2	1
5	4	1	4	0	f	n	02	left	left	1.48099994659	2	1
5	5	1	5	0	m	n	36	right	left	2.02600002289	1	1
5	6	1	6	0	f	n	32	left	left	1.43700003624	2	1
5	7	1	7	0	m	n	47	right	right	1.45800018311	1	1
5	8	1	8	0	m	n	33	left	left	1.32399988174	1	1
5	9	1	9	0	m	n	46	left	left	2.21799993515	2	0
5	10	1	10	0	f	n	37	right	right	1.28999996185	2	1
5	11	1	1	0	f	n	18	left	left	3.25100016594	1	0
5	12	1	2	0	f	n	19	left	left	2.44400000572	2	1
5	13	1	3	0	f	n	58	right	right	1.38100004196	2	1
5	14	1	4	0	m	n	10	right	left	1.35599994659	1	1
5	15	1	5	0	f	n	18	right	right	1.63999986649	2	1
5	16	1	6	0	m	n	20	right	right	1.28600001335	1	1
5	17	1	7	0	f	n	32	right	right	5.40299987793	3	NA
5	18	1	8	0	m	n	28	right	right	1.8140001297	1	1
5	19	1	9	0	f	n	04	right	right	1.98000001907	1	0
5	20	1	10	0	f	n	19	left	right	2.25300002098	1	0
5	21	1	11	0	f	n	16	right	right	1.76900005341	2	1
5	22	1	12	0	f	n	26	right	right	1.26200008392	2	1
5	23	1	13	0	f	n	26	right	right	1.43799996376	2	1
5	24	1	14	0	m	n	21	right	right	1.375	1	1
5	25	1	15	0	f	n	12	right	right	1.63100004196	2	1
5	26	1	16	0	f	n	12	left	left	2.14400005341	1	0
5	27	1	17	0	m	n	23	left	left	1.33999991417	1	1
5	28	1	18	0	m	n	46	left	left	1.257999897	1	1
5	29	1	19	0	m	n	20	right	right	1.0759999752	1	1
5	30	1	20	0	f	n	37	left	left	1.38499999046	2	1
5	31	1	21	0	f	n	14	right	right	1.26499986649	2	1
5	32	1	22	0	m	n	25	left	right	1.29099988937	1	1
5	33	1	23	0	m	n	25	left	left	1.08399987221	1	1
5	34	1	24	0	m	n	47	right	left	3.74499988556	2	NA
5	35	1	25	0	m	n	21	left	left	1.23099994659	1	1
5	36	1	26	0	m	n	10	right	right	1.09999990463	1	1
5	37	1	27	0	f	n	01	right	right	1.17999982834	2	1
5	38	1	28	0	f	n	18	left	left	1.09700012207	2	1
5	39	1	29	0	m	n	38	left	left	1.16000008583	1	1
5	40	1	30	0	m	n	07	right	right	1.07800006866	1	1
5	41	1	31	0	m	n	36	left	left	1.03299999237	1	1
5	42	1	32	0	m	n	20	left	left	3.28399991989	2	NA
5	43	1	33	0	f	n	31	right	left	2.62000012398	3	NA
5	44	1	34	0	m	n	07	right	right	1.92700004578	1	1
5	45	1	35	0	m	n	21	left	right	4.41500020027	1	1
5	46	1	36	0	f	n	02	left	left	1.22399997711	2	1
5	47	1	37	0	f	n	56	right	left	1.19099998474	1	0
5	48	1	38	0	m	n	25	right	right	1.37000012398	1	1
5	49	1	39	0	m	n	47	left	right	2.6740000248	2	NA
5	50	1	40	0	f	n	04	right	left	1.65999984741	1	0
5	51	1	41	0	f	n	22	left	left	1.22300004959	1	0
5	52	1	42	0	f	n	02	left	right	2.42499995232	2	NA
5	53	1	43	0	f	n	56	left	left	2.02200007439	1	0
5	54	1	44	0	f	n	56	left	right	1.41400003433	1	0
5	55	1	45	0	m	n	46	right	right	0.800999879837	1	1
5	56	1	46	0	f	n	01	left	left	4.74300003052	3	NA
5	57	1	47	0	m	n	49	left	left	1.96300005913	1	1
5	58	1	48	0	f	n	31	right	right	1.54799985886	2	1
5	59	1	49	0	f	n	14	left	left	2.06500005722	2	1
5	60	1	50	0	m	n	38	right	left	1.71999979019	1	1
5	61	1	51	0	m	n	05	left	left	1.48300004005	1	1
5	62	1	52	0	f	n	37	left	left	1.35399985313	1	0
5	63	1	53	0	m	n	20	left	left	0.800999879837	1	1
5	64	1	54	0	f	n	02	right	left	1.47099995613	2	1
5	65	1	55	0	m	n	05	right	right	3.76999998093	3	NA
5	66	1	56	0	f	n	19	left	left	1.42100000381	2	1
5	67	1	57	0	m	n	05	right	right	1.08299994469	1	1
5	68	1	58	0	m	n	24	left	left	0.819999933243	1	1
5	69	1	59	0	f	n	32	left	left	0.800999879837	2	1
5	70	1	60	0	f	n	26	right	right	0.811000108719	2	1
5	71	1	61	0	f	n	08	right	right	1.42699980736	2	1
5	72	1	62	0	m	n	36	right	right	1.14600014687	1	1
5	73	1	63	0	f	n	16	left	left	1.24000000954	2	1
5	74	1	64	0	m	n	28	right	right	1.04699993134	1	1
5	75	1	65	0	m	n	07	left	left	1.04600000381	1	1
5	76	1	66	0	f	n	14	right	right	1.32899999619	2	1
5	77	1	67	0	m	n	23	left	right	1.72399997711	1	1
5	78	1	68	0	m	n	24	left	left	1.04299998283	1	1
5	79	1	69	0	m	n	71	right	right	1.08700013161	1	1
5	80	1	70	0	m	n	49	left	left	1.01799988747	1	1
5	81	2	1	0	m	n	28	left	left	1.58200001717	1	1
5	82	2	2	0	f	n	02	right	right	1.84899997711	1	0
5	83	2	3	0	f	n	18	left	left	1.00100016594	2	1
5	84	2	4	0	f	n	08	left	left	1.35500001907	1	0
5	85	2	5	1	m	n	25	left	left	3.10000014305	2	NA
5	86	2	6	0	f	n	18	left	left	1.55999994278	2	1
5	87	2	7	0	f	n	31	right	right	1.02100014687	2	1
5	88	2	8	0	m	n	23	left	left	0.908999919891	1	1
5	89	2	9	0	m	n	49	right	right	5.6740000248	3	NA
5	90	2	10	0	m	n	46	right	right	1.13000011444	1	1
5	91	2	11	0	m	n	10	right	right	2.20399999619	1	1
5	92	2	12	0	f	n	14	left	left	0.865999937057	2	1
5	93	2	13	0	f	n	56	left	left	3.92599987984	1	0
5	94	2	14	0	f	n	01	left	left	1.38800001144	1	0
5	95	2	15	0	f	n	12	right	left	2.68799996376	2	1
5	96	2	16	0	f	n	22	left	left	0.801000118256	2	1
5	97	2	17	0	m	n	38	right	left	0.897000074387	1	1
5	98	2	18	0	m	n	47	right	right	2.52900004387	1	1
5	99	2	19	0	m	n	20	left	left	0.800999879837	1	1
5	100	2	20	0	m	n	38	right	left	2.42699980736	2	NA
5	101	2	21	0	f	n	37	left	right	1.20899987221	1	0
5	102	2	22	0	f	n	19	left	left	0.801000118256	2	1
5	103	2	23	0	m	n	24	left	left	0.800999879837	1	1
5	104	2	24	0	m	n	33	left	right	5.00899982452	3	NA
5	105	2	25	0	m	n	23	right	left	1.08500003815	1	1
5	106	2	26	0	f	n	22	right	right	1.43000006676	2	1
5	107	2	27	0	f	n	04	right	left	0.87700009346	1	0
5	108	2	28	0	m	n	10	left	left	0.988999843597	1	1
5	109	2	29	0	f	n	32	right	right	0.801000118256	2	1
5	110	2	30	0	m	n	05	right	right	0.800999879837	1	1
5	111	2	31	0	m	n	71	right	right	0.801000118256	1	1
5	112	2	32	0	f	n	32	left	left	0.800999879837	2	1
5	113	2	33	0	m	n	07	left	left	1.14100003242	1	1
5	114	2	34	0	m	n	07	left	left	1.12799978256	1	1
5	115	2	35	0	m	n	10	right	left	1.18099999428	1	1
5	116	2	36	0	f	n	58	left	left	1.06199979782	2	1
5	117	2	37	0	m	n	05	right	right	0.801000118256	1	1
5	118	2	38	0	f	n	26	right	right	1.01699995995	1	0
5	119	2	39	0	m	n	49	left	left	1.08299994469	1	1
5	120	2	40	0	f	n	14	right	right	1.04200005531	2	1
5	121	2	41	0	f	n	22	left	right	1.66999983788	1	0
5	122	2	42	0	f	n	16	left	left	1.04799985886	2	1
5	123	2	43	0	f	n	04	left	left	0.800999879837	2	1
5	124	2	44	0	f	n	16	right	right	0.831000089645	1	0
5	125	2	45	0	f	n	12	right	left	3.4849998951	3	NA
5	126	2	46	0	m	n	71	right	right	0.958999872208	1	1
5	127	2	47	0	m	n	24	right	right	0.899999856949	1	1
5	128	2	48	0	f	n	26	right	right	0.801000118256	2	1
5	129	2	49	0	m	n	71	right	right	0.811000108719	1	1
5	130	2	50	0	m	n	21	left	right	0.885999917984	1	1
5	131	2	51	1	f	n	19	left	right	2.2539999485	2	NA
5	132	2	52	0	f	n	04	left	right	1.42000007629	1	0
5	133	2	53	0	m	n	25	right	right	1.08299994469	1	1
5	134	2	54	0	f	n	31	right	right	0.801000118256	2	1
5	135	2	55	0	m	n	49	right	right	0.800999879837	1	1
5	136	2	56	0	f	n	01	right	right	0.801000118256	2	1
5	137	2	57	0	m	n	36	left	left	0.800999879837	1	1
5	138	2	58	0	m	n	71	left	left	0.801000118256	1	1
5	139	2	59	0	m	n	33	left	left	0.800999879837	1	1
5	140	2	60	0	m	n	28	left	left	0.800999879837	1	1
5	141	2	61	0	f	n	08	left	left	0.801000118256	2	1
5	142	2	62	0	f	n	08	left	left	0.816999912262	2	1
5	143	2	63	0	m	n	36	left	left	0.801000118256	1	1
5	144	2	64	0	f	n	01	right	right	0.801000118256	2	1
5	145	2	65	0	m	n	46	right	right	0.801000118256	1	1
5	146	2	66	0	m	n	23	left	left	0.800999879837	1	1
5	147	2	67	0	m	n	38	right	right	0.801000118256	1	1
5	148	2	68	0	f	n	31	right	right	3.16400003433	3	NA
5	149	2	69	0	f	n	56	right	right	1.12699985504	1	0
5	150	2	70	0	m	n	33	left	left	1.08399987221	1	1
5	151	2	71	0	m	n	33	left	right	1.08399987221	1	1
5	152	2	72	0	f	n	58	right	right	1.47800016403	2	1
5	153	2	73	0	f	n	08	left	left	0.84299993515	2	1
5	154	2	74	0	f	n	12	left	left	2.73300004005	3	NA
5	155	2	75	0	f	n	37	right	left	1.60899996758	1	0
5	156	2	76	0	m	n	47	right	right	1.02599978447	1	1
5	157	2	77	0	m	n	28	right	right	0.802000045776	1	1
5	158	2	78	0	f	n	22	right	right	0.801000118256	2	1
5	159	2	79	0	m	n	21	left	right	1.14199995995	1	1
5	160	2	80	0	f	n	16	right	right	0.801000118256	2	1
5	161	3	1	0	f	n	31	right	left	1.12800002098	1	0
5	162	3	2	0	m	n	28	left	right	0.99799990654	1	1
5	163	3	3	0	f	n	16	right	left	2.37599992752	2	NA
5	164	3	4	0	m	n	24	right	right	1.15499997139	1	1
5	165	3	5	0	m	n	33	right	left	1.14800000191	2	0
5	166	3	6	0	f	n	32	right	right	0.801000118256	2	1
5	167	3	7	0	m	n	25	left	left	1.03299999237	1	1
5	168	3	8	0	f	n	31	right	right	1.27699995041	2	1
5	169	3	9	0	m	n	28	right	right	0.952000141144	1	1
5	170	3	10	0	f	n	04	right	right	0.801000118256	2	1
5	171	3	11	0	m	n	10	right	right	0.801000118256	1	1
5	172	3	12	0	m	n	47	left	left	1.00300002098	2	0
5	173	3	13	0	f	n	18	left	left	0.952000141144	2	1
5	174	3	14	0	f	n	19	right	left	1.08399987221	2	1
5	175	3	15	0	f	n	01	left	left	1.0529999733	2	1
5	176	3	16	0	m	n	47	left	left	0.851000070572	1	1
5	177	3	17	0	m	n	07	right	right	0.952000141144	1	1
5	178	3	18	0	m	n	25	left	left	0.93799996376	1	1
5	179	3	19	0	f	n	22	right	right	1.01399993896	2	1
5	180	3	20	0	f	n	37	right	right	1.01699995995	1	0
5	181	3	21	0	m	n	46	right	right	0.953999996185	1	1
5	182	3	22	0	m	n	33	left	left	1.78900003433	1	1
5	183	3	23	0	m	n	23	right	right	0.876999855042	1	1
5	184	3	24	0	m	n	20	right	right	0.851999998093	1	1
5	185	3	25	0	f	n	14	left	left	0.848999977112	2	1
5	186	3	26	0	f	n	22	left	left	1.04600000381	2	1
5	187	3	27	0	f	n	56	right	right	0.800999879837	2	1
5	188	3	28	0	m	n	46	left	left	0.801000118256	1	1
5	189	3	29	0	f	n	12	right	right	0.799999952316	2	1
5	190	3	30	0	f	n	19	right	right	0.801000118256	2	1
5	191	3	31	0	f	n	16	left	left	0.800999879837	2	1
5	192	3	32	0	f	n	01	left	left	2.22799992561	2	1
5	193	3	33	0	m	n	07	right	right	0.800999879837	1	1
5	194	3	34	0	m	n	36	left	right	1.08599996567	1	1
5	195	3	35	0	m	n	38	left	left	2.55200004578	3	NA
5	196	3	36	0	f	n	14	left	left	1.1210000515	1	0
5	197	3	37	0	m	n	49	right	right	2.93799996376	2	NA
5	198	3	38	0	f	n	04	left	left	1.10199999809	2	1
5	199	3	39	0	m	n	23	right	right	1.58000016212	1	1
5	200	3	40	0	m	n	71	left	right	4.20700001717	3	NA
5	201	3	41	0	m	n	33	right	right	1.08399987221	1	1
5	202	3	42	0	f	n	14	left	left	0.800999879837	2	1
5	203	3	43	0	m	n	07	left	left	0.93799996376	1	1
5	204	3	44	0	f	n	32	right	right	0.802000045776	2	1
5	205	3	45	0	m	n	47	right	right	0.946999788284	1	1
5	206	3	46	0	m	n	49	right	right	0.924000024796	1	1
5	207	3	47	0	f	n	37	right	right	0.874000072479	2	1
5	208	3	48	0	m	n	46	right	left	1.01699995995	1	1
5	209	3	49	0	m	n	36	left	right	1.01799988747	1	1
5	210	3	50	0	f	n	18	left	left	0.96799993515	2	1
5	211	3	51	0	m	n	10	left	left	0.924999952316	1	1
5	212	3	52	1	m	n	49	right	left	3.29199981689	1	NA
5	213	3	53	0	m	n	38	left	left	1.15999984741	1	1
5	214	3	54	0	f	n	01	left	right	3.09899997711	2	NA
5	215	3	55	0	m	n	21	right	right	1.48699998856	2	0
5	216	3	56	0	f	n	58	left	left	1.01399993896	2	1
5	217	3	57	0	f	n	56	right	right	1.16000008583	2	1
5	218	3	58	0	m	n	21	right	left	1.37599992752	1	1
5	219	3	59	0	m	n	20	left	left	1.21999979019	1	1
5	220	3	60	0	f	n	02	right	right	2.47299981117	2	1
5	221	3	61	0	m	n	33	right	right	1.03600001335	1	1
5	222	3	62	0	f	n	37	right	right	1.06599998474	2	1
5	223	3	63	0	m	n	07	left	left	1.06399989128	1	1
5	224	3	64	0	f	n	01	left	left	1.40500020981	2	1
5	225	3	65	0	f	n	26	left	right	1.51899981499	1	0
5	226	3	66	0	f	n	08	right	right	1.27499985695	2	1
5	227	3	67	0	m	n	10	left	left	1.16400003433	1	1
5	228	3	68	0	f	n	08	left	left	1.05200004578	1	0
5	229	3	69	0	f	n	37	right	left	0.93799996376	1	0
5	230	3	70	0	f	n	04	right	right	1.0529999733	2	1
5	231	3	71	0	m	n	24	left	left	0.801000118256	1	1
5	232	3	72	0	f	n	26	left	left	1.59100008011	2	1
5	233	3	73	0	f	n	04	left	left	2.26800012589	4	NA
5	234	3	74	1	f	n	37	right	right	3.19499993324	3	NA
5	235	3	75	0	f	n	18	left	right	2.16800022125	2	1
5	236	3	76	0	m	n	24	left	left	1.15599989891	1	1
5	237	3	77	0	m	n	36	right	right	0.858000040054	1	1
5	238	3	78	0	m	n	20	left	left	1.09299993515	1	1
5	239	3	79	0	f	n	58	left	left	1.01400017738	2	1
5	240	3	80	0	f	n	12	left	right	0.911000013351	2	1
5	241	4	1	0	f	n	14	right	right	1.6289999485	2	1
5	242	4	2	0	f	n	08	right	left	1.05100011826	1	0
5	243	4	3	0	f	n	31	left	left	1.45299983025	2	1
