KI	Trl	Block	Trl/Bl	Crit	Sex	Emo	PicID	Cue	StimPos	RT	Ans	Correct
6	1	1	1	0	m	n	25	right	left	9.70900011063	1	1
6	2	1	2	0	m	n	24	left	left	1.55500006676	1	1
6	3	1	3	0	m	n	28	left	left	1.99000000954	1	1
6	4	1	4	0	f	n	14	right	right	1.36199998856	1	0
6	5	1	5	0	f	n	31	left	left	4.43000006676	2	1
6	6	1	6	0	m	n	07	right	right	1.54400014877	1	1
6	7	1	7	0	f	n	02	left	left	1.38499999046	2	1
6	8	1	8	0	m	n	38	right	right	1.22399997711	1	1
6	9	1	9	0	f	n	12	right	right	1.85599994659	2	1
6	10	1	10	0	f	n	08	left	right	1.74099993706	1	0
6	11	1	1	0	m	n	21	left	right	1.76999998093	1	1
6	12	1	2	0	f	n	14	left	left	1.10599994659	1	0
6	13	1	3	0	m	n	07	right	left	2.56699991226	1	1
6	14	1	4	0	f	n	14	left	left	2.0649998188	1	0
6	15	1	5	0	f	n	19	left	left	0.907999992371	2	1
6	16	1	6	0	f	n	16	right	right	1.38400006294	2	1
6	17	1	7	0	m	n	36	right	right	1.94599986076	2	0
6	18	1	8	0	m	n	71	right	right	2.38199996948	2	0
6	19	1	9	0	f	n	58	right	right	1.26999998093	2	1
6	20	1	10	0	f	n	22	right	right	1.19099998474	2	1
6	21	1	11	0	f	n	12	left	left	1.51900005341	1	0
6	22	1	12	0	f	n	58	right	right	1.43000006676	2	1
6	23	1	13	0	f	n	26	right	right	1.07100009918	2	1
6	24	1	14	0	m	n	28	right	left	7.89399981499	4	NA
6	25	1	15	0	f	n	16	right	right	4.26499986649	2	1
6	26	1	16	0	f	n	22	left	right	6.05400013924	4	NA
6	27	1	17	0	m	n	23	left	right	2.79600000381	4	NA
6	28	1	18	0	f	n	56	left	left	4.05399990082	1	0
6	29	1	19	0	f	n	31	right	right	2.10899996758	2	1
6	30	1	20	0	f	n	56	right	right	1.41499996185	2	1
6	31	1	21	0	f	n	32	left	left	1.17999982834	2	1
6	32	1	22	0	f	n	16	right	right	1.06399989128	1	0
6	33	1	23	0	f	n	26	left	left	1.96799993515	2	1
6	34	1	24	0	m	n	10	left	left	1.11600017548	1	1
6	35	1	25	0	m	n	46	right	right	1.09899997711	1	1
6	36	1	26	0	f	n	37	right	right	1.14400005341	2	1
6	37	1	27	0	f	n	08	left	left	5.08399987221	3	NA
6	38	1	28	0	f	n	26	left	left	2.06300020218	1	0
6	39	1	29	0	m	n	05	right	right	2.81100010872	1	1
6	40	1	30	0	f	n	37	right	right	3.11299991608	2	1
6	41	1	31	0	m	n	33	left	left	1.4359998703	1	1
6	42	1	32	0	m	n	28	right	right	1.2389998436	1	1
6	43	1	33	0	f	n	18	right	right	1.60799980164	2	1
6	44	1	34	0	f	n	18	left	left	2.02399992943	1	0
6	45	1	35	0	f	n	04	left	left	2.01300001144	2	1
6	46	1	36	0	m	n	21	right	right	2.36699986458	2	0
6	47	1	37	0	m	n	49	left	left	1.14699983597	1	1
6	48	1	38	0	m	n	10	right	right	1.21200013161	1	1
6	49	1	39	0	m	n	25	left	left	1.45000004768	1	1
6	50	1	40	0	m	n	47	left	left	1.87399983406	1	1
6	51	1	41	0	f	n	01	right	left	2.07699990273	1	0
6	52	1	42	0	f	n	04	right	left	2.0759999752	1	0
6	53	1	43	0	m	n	24	right	right	1.45799994469	1	1
6	54	1	44	0	m	n	28	left	left	1.22200012207	1	1
6	55	1	45	0	m	n	47	right	right	1.39400005341	1	1
6	56	1	46	0	m	n	47	right	left	2.09800004959	1	1
6	57	1	47	0	m	n	07	left	left	1.11299991608	1	1
6	58	1	48	0	f	n	01	right	left	1.0529999733	1	0
6	59	1	49	0	m	n	23	right	right	1.42000007629	1	1
6	60	1	50	0	m	n	38	right	right	1.11199998856	1	1
6	61	1	51	0	f	n	08	left	left	1.08400011063	2	1
6	62	1	52	0	m	n	10	left	left	1.0529999733	1	1
6	63	1	53	0	m	n	47	left	left	1.09000015259	1	1
6	64	1	54	0	f	n	12	right	right	1.08800005913	2	1
6	65	1	55	0	f	n	04	left	right	3.27499985695	1	0
6	66	1	56	0	m	n	24	left	right	1.09100008011	1	1
6	67	1	57	0	m	n	05	right	right	5.29099988937	3	NA
6	68	1	58	0	m	n	10	right	right	2.33200001717	1	1
6	69	1	59	0	m	n	23	left	left	1.24399995804	1	1
6	70	1	60	0	m	n	25	left	left	1.21000003815	1	1
6	71	1	61	0	f	n	02	right	left	3.1130001545	3	NA
6	72	1	62	0	m	n	49	left	right	2.05900001526	1	1
6	73	1	63	0	f	n	37	right	right	4.13800001144	4	NA
6	74	1	64	0	f	n	32	left	right	2.9240000248	2	1
6	75	1	65	0	m	n	33	left	left	1.62800002098	1	1
6	76	1	66	0	f	n	18	left	left	1.20900011063	2	1
6	77	1	67	0	m	n	46	left	left	1.24300003052	1	1
6	78	1	68	0	m	n	21	left	left	3.07100009918	3	NA
6	79	1	69	0	m	n	33	right	right	1.35599994659	1	1
6	80	1	70	0	f	n	14	left	left	1.36199998856	1	0
6	81	2	1	0	m	n	38	left	left	3.91999983788	1	1
6	82	2	2	0	f	n	37	right	right	2.617000103	2	1
6	83	2	3	0	m	n	71	left	left	1.26300001144	1	1
6	84	2	4	0	f	n	19	right	right	2.46099996567	4	NA
6	85	2	5	0	f	n	37	right	left	3.30599999428	4	NA
6	86	2	6	0	m	n	71	right	right	1.32699990273	1	1
6	87	2	7	0	m	n	21	right	left	1.21499991417	1	1
6	88	2	8	1	f	n	22	left	right	2.96700000763	3	NA
6	89	2	9	0	f	n	04	right	right	1.27600002289	2	1
6	90	2	10	0	f	n	31	left	left	1.27699995041	2	1
6	91	2	11	1	m	n	20	left	left	7.01300001144	2	NA
6	92	2	12	0	f	n	08	right	right	2.20399999619	2	1
6	93	2	13	0	m	n	23	left	left	1.34100008011	1	1
6	94	2	14	0	f	n	02	left	left	1.51499986649	1	0
6	95	2	15	0	m	n	20	right	right	1.54100012779	1	1
6	96	2	16	0	m	n	46	left	left	1.16100001335	1	1
6	97	2	17	0	f	n	01	left	left	3.70799994469	3	NA
6	98	2	18	0	m	n	05	left	left	4.52300000191	1	1
6	99	2	19	0	m	n	20	right	right	1.33199977875	1	1
6	100	2	20	0	m	n	24	right	right	1.20300006866	1	1
6	101	2	21	0	m	n	47	left	left	2.51400017738	1	1
6	102	2	22	0	f	n	18	left	left	3.35299992561	1	0
6	103	2	23	0	f	n	16	left	left	1.27300000191	2	1
6	104	2	24	0	m	n	21	left	left	1.31200003624	1	1
6	105	2	25	0	f	n	14	right	right	2.20899987221	1	0
6	106	2	26	0	m	n	07	right	right	1.36800003052	1	1
6	107	2	27	0	f	n	08	left	left	1.30799984932	1	0
6	108	2	28	0	f	n	19	right	right	1.2610001564	2	1
6	109	2	29	0	f	n	02	left	right	1.84900021553	1	0
6	110	2	30	0	f	n	58	left	right	1.78299999237	2	1
6	111	2	31	0	f	n	31	left	left	1.27699995041	2	1
6	112	2	32	0	f	n	22	right	right	1.19099998474	2	1
6	113	2	33	0	m	n	49	left	left	1.54699993134	1	1
6	114	2	34	0	m	n	36	right	right	1.1779999733	1	1
6	115	2	35	0	f	n	32	right	right	1.14800000191	2	1
6	116	2	36	0	m	n	71	right	left	1.72699999809	1	1
6	117	2	37	0	f	n	26	left	right	1.37599992752	2	1
6	118	2	38	0	f	n	32	right	right	1.19600009918	2	1
6	119	2	39	0	f	n	56	left	left	2.68000006676	2	1
6	120	2	40	0	m	n	24	right	left	3.76399993896	1	NA
6	121	2	41	0	m	n	25	right	right	1.52999997139	1	1
6	122	2	42	0	m	n	36	right	right	3.78700017929	2	0
6	123	2	43	0	m	n	49	right	right	0.800999879837	1	1
6	124	2	44	0	m	n	46	left	right	1.60199999809	1	1
6	125	2	45	0	m	n	07	right	right	1.40000009537	1	1
6	126	2	46	0	f	n	56	left	left	1.3180000782	2	1
6	127	2	47	0	m	n	10	right	right	1.14900016785	1	1
6	128	2	48	0	m	n	28	right	right	1.11100006104	1	1
6	129	2	49	0	m	n	36	left	left	1.22600007057	2	0
6	130	2	50	0	f	n	12	left	left	1.29500007629	2	1
6	131	2	51	0	f	n	31	left	left	1.18099999428	2	1
6	132	2	52	0	m	n	46	left	right	1.35500001907	1	1
6	133	2	53	0	m	n	33	left	right	1.51699995995	1	1
6	134	2	54	0	m	n	20	right	right	1.125	1	1
6	135	2	55	0	f	n	32	right	right	1.10099983215	2	1
6	136	2	56	0	m	n	71	left	right	3.82300019264	1	NA
6	137	2	57	0	f	n	01	left	left	1.16400003433	2	1
6	138	2	58	0	m	n	38	left	left	1.12800002098	1	1
6	139	2	59	0	f	n	58	left	left	2.02300000191	1	0
6	140	2	60	0	m	n	20	right	right	3.6210000515	2	NA
6	141	2	61	0	m	n	33	left	left	1.27600002289	1	1
6	142	2	62	0	m	n	25	left	left	1.06700015068	1	1
6	143	2	63	0	f	n	58	left	left	1.15799999237	2	1
6	144	2	64	0	f	n	04	right	right	1.16499996185	2	1
6	145	2	65	0	f	n	16	right	right	1.0490000248	2	1
6	146	2	66	0	m	n	05	right	right	1.08299994469	2	0
6	147	2	67	0	f	n	19	right	left	1.40400004387	1	0
6	148	2	68	0	f	n	19	right	left	1.19500017166	1	0
6	149	2	69	0	m	n	38	right	right	1.09599995613	1	1
6	150	2	70	0	f	n	01	right	right	1.06900000572	2	1
6	151	2	71	0	f	n	18	right	right	1.01699995995	2	1
6	152	2	72	0	m	n	49	right	left	1.48300004005	1	1
6	153	2	73	0	f	n	22	right	right	1.11000013351	2	1
6	154	2	74	0	m	n	05	left	left	1.33899998665	1	1
6	155	2	75	0	f	n	56	right	right	1.43099999428	2	1
6	156	2	76	0	m	n	23	left	left	1.46799993515	1	1
6	157	2	77	0	m	n	36	left	left	4.17000007629	1	1
6	158	2	78	0	f	n	02	right	left	1.32100009918	1	0
6	159	2	79	0	f	n	26	left	left	1.47200012207	1	0
6	160	2	80	0	f	n	12	left	left	1.27900004387	2	1
6	161	3	1	0	m	n	10	left	left	3.30400013924	1	1
6	162	3	2	0	f	n	18	right	right	1.70499992371	2	1
6	163	3	3	0	m	n	38	left	left	1.76899981499	1	1
6	164	3	4	0	m	n	10	right	right	1.40499997139	1	1
6	165	3	5	0	f	n	08	left	left	1.13199996948	2	1
6	166	3	6	0	f	n	12	right	left	1.15000009537	1	0
6	167	3	7	0	f	n	31	right	right	1.27700018883	2	1
6	168	3	8	0	m	n	47	right	left	1.34599995613	1	1
6	169	3	9	0	m	n	25	left	left	1.11500000954	2	0
6	170	3	10	1	m	n	05	right	left	2.77900004387	1	NA
6	171	3	11	0	f	n	18	right	left	1.14400005341	2	1
6	172	3	12	0	m	n	49	right	right	1.09899997711	1	1
6	173	3	13	0	f	n	08	left	left	1.33999991417	1	0
6	174	3	14	1	f	n	16	right	right	4.85800004005	2	NA
6	175	3	15	0	m	n	21	right	right	1.10400009155	1	1
6	176	3	16	0	f	n	19	left	left	2.74799990654	4	NA
6	177	3	17	0	m	n	10	right	right	1.43700003624	1	1
6	178	3	18	0	f	n	18	left	left	1.28900003433	2	1
6	179	3	19	0	m	n	07	left	right	1.51200008392	1	1
6	180	3	20	0	f	n	16	right	right	1.76800012589	2	1
6	181	3	21	0	m	n	25	right	right	1.41799998283	1	1
6	182	3	22	0	m	n	07	left	left	1.12800002098	1	1
6	183	3	23	0	f	n	16	right	right	1.86400008202	1	0
6	184	3	24	0	m	n	23	left	left	1.1970000267	1	1
6	185	3	25	0	f	n	18	right	left	3.99300003052	3	NA
6	186	3	26	0	f	n	01	left	left	1.4849998951	2	1
6	187	3	27	0	f	n	37	left	right	2.93799996376	3	NA
6	188	3	28	0	m	n	46	right	right	1.35500001907	1	1
6	189	3	29	0	m	n	20	left	left	1.23699998856	1	1
6	190	3	30	0	m	n	46	left	left	1.08300018311	1	1
6	191	3	31	0	m	n	46	right	left	1.30599999428	1	1
6	192	3	32	0	m	n	25	left	left	1.22799992561	1	1
6	193	3	33	0	m	n	21	left	left	1.13499999046	1	1
6	194	3	34	0	m	n	49	right	right	1.00300002098	1	1
6	195	3	35	0	f	n	31	left	left	1.0529999733	2	1
6	196	3	36	0	f	n	37	left	left	1.04999995232	2	1
6	197	3	37	0	f	n	19	right	right	1.03700017929	2	1
6	198	3	38	0	m	n	47	left	left	1.05800008774	1	1
6	199	3	39	0	f	n	01	right	right	0.801000118256	2	1
6	200	3	40	0	m	n	38	left	left	3.47199988365	2	NA
6	201	3	41	0	m	n	36	left	left	1.3069999218	1	1
6	202	3	42	0	m	n	46	right	right	1.11500000954	1	1
6	203	3	43	0	f	n	58	right	right	1.11000013351	2	1
6	204	3	44	0	m	n	49	right	right	1.08300018311	1	1
6	205	3	45	0	f	n	12	right	right	1.10399985313	2	1
6	206	3	46	0	f	n	31	left	left	1.16500020027	2	1
6	207	3	47	0	m	n	05	right	right	1.43499994278	1	1
6	208	3	48	0	m	n	07	right	right	2.02399992943	1	1
6	209	3	49	0	f	n	19	left	left	1.16499996185	2	1
6	210	3	50	0	f	n	22	right	left	1.35099983215	2	1
6	211	3	51	0	m	n	33	left	right	1.69200015068	1	1
6	212	3	52	0	f	n	02	left	right	1.86599993706	1	0
6	213	3	53	0	f	n	37	right	right	1.08200001717	2	1
6	214	3	54	0	f	n	02	right	right	1.03399991989	2	1
6	215	3	55	0	f	n	14	right	right	1.98500013351	1	0
6	216	3	56	0	f	n	01	right	right	1.08400011063	2	1
6	217	3	57	0	f	n	58	left	right	1.23799991608	2	1
6	218	3	58	0	m	n	05	left	left	1.11500000954	2	0
6	219	3	59	0	m	n	25	right	right	2.82700014114	3	NA
6	220	3	60	0	f	n	56	right	right	1.47900009155	1	0
6	221	3	61	0	m	n	24	right	left	1.5720000267	1	1
6	222	3	62	0	f	n	02	right	right	1.21000003815	2	1
6	223	3	63	0	m	n	23	left	right	1.22800016403	2	0
6	224	3	64	0	f	n	22	right	right	1.11100006104	2	1
6	225	3	65	0	f	n	04	left	left	1.03700017929	2	1
6	226	3	66	0	f	n	26	left	left	1.19899988174	1	0
6	227	3	67	0	f	n	22	left	left	1.86299991608	1	0
6	228	3	68	0	f	n	01	left	left	1.10000014305	2	1
6	229	3	69	0	m	n	28	left	left	1.22300004959	1	1
6	230	3	70	0	m	n	24	left	left	1.05999994278	1	1
6	231	3	71	0	m	n	23	right	right	1.08500003815	1	1
6	232	3	72	0	f	n	32	left	right	1.77200007439	1	0
6	233	3	73	0	f	n	08	left	left	1.27500009537	1	0
6	234	3	74	0	f	n	22	left	left	1.07899999619	2	1
6	235	3	75	0	m	n	20	left	left	1.09299993515	1	1
6	236	3	76	0	m	n	38	right	right	1.07999992371	1	1
6	237	3	77	0	m	n	33	right	right	1.10100007057	1	1
6	238	3	78	0	f	n	56	left	left	1.06200003624	2	1
6	239	3	79	0	m	n	23	left	right	3.83700013161	3	NA
6	240	3	80	0	m	n	24	right	right	1.12399983406	1	1
6	241	4	1	0	f	n	31	right	right	2.52100014687	2	1
6	242	4	2	0	m	n	20	right	left	1.74900007248	2	0
6	243	4	3	0	f	n	26	left	left	1.07099986076	2	1
6	244	4	4	0	f	n	12	left	left	1.07100009918	2	1
6	245	4	5	0	m	n	71	right	right	0.974999904633	1	1
6	246	4	6	0	m	n	24	right	right	0.963999986649	1	1
6	247	4	7	0	m	n	47	left	left	1.60299992561	1	1
6	248	4	8	0	m	n	20	left	left	1.10900020599	1	1
6	249	4	9	0	m	n	38	left	left	0.983000040054	1	1
6	250	4	10	0	f	n	58	left	right	2.91700005531	3	NA
6	251	4	11	0	f	n	56	left	left	2.58299994469	1	0
6	252	4	12	0	m	n	38	left	left	1.0649998188	1	1
6	253	4	13	0	f	n	58	right	right	2.53400015831	3	NA
