KI	Trl	Block	Trl/Bl	Crit	Sex	Emo	PicID	Cue	StimPos	RT	Ans	Correct
1	1	1	1	0	m	n	07	right	left	0.889000177383	1	1
1	2	1	2	0	m	n	25	right	right	0.9390001297	2	0
1	3	1	3	0	m	n	36	left	left	1.51300001144	1	1
1	4	1	4	0	f	n	18	left	left	2.93700003624	2	1
1	5	1	5	0	f	n	22	left	right	1.78199982643	2	1
1	6	1	6	0	f	n	31	left	left	0.801000118256	2	1
1	7	1	7	0	f	n	19	right	right	0.800999879837	2	1
1	8	1	8	0	f	n	37	right	right	3.21799993515	2	1
1	9	1	9	0	m	n	33	left	left	1.85299992561	1	1
1	10	1	10	0	m	n	21	right	right	2.16000008583	1	1
1	11	1	1	0	m	n	71	right	right	2.58499979973	1	1
1	12	1	2	0	m	n	33	right	right	1.22799992561	1	1
1	13	1	3	0	f	n	37	left	left	1.65700006485	1	0
1	14	1	4	0	f	n	26	right	right	1.23100018501	2	1
1	15	1	5	0	f	n	37	left	left	1.37000012398	2	1
1	16	1	6	0	f	n	12	left	left	7.08700013161	3	NA
1	17	1	7	0	f	n	58	right	right	1.19000005722	2	1
1	18	1	8	0	f	n	14	left	left	2.86599993706	2	1
1	19	1	9	0	f	n	01	left	left	1.19600009918	2	1
1	20	1	10	0	f	n	31	left	left	1.98000001907	2	1
1	21	1	11	0	m	n	36	left	left	1.14499998093	1	1
1	22	1	12	0	m	n	20	right	left	5.47800016403	1	1
1	23	1	13	0	m	n	71	right	left	3.05399990082	4	NA
1	24	1	14	0	m	n	71	right	right	1.2460000515	1	1
1	25	1	15	0	m	n	05	left	left	1.46599984169	1	1
1	26	1	16	0	m	n	47	right	right	1.10599994659	1	1
1	27	1	17	0	f	n	14	right	right	8.12900018692	2	NA
1	28	1	18	0	f	n	16	right	left	2.80800008774	4	NA
1	29	1	19	0	f	n	32	right	right	4.36500000954	2	1
1	30	1	20	0	f	n	37	left	left	1.43300008774	2	1
1	31	1	21	0	f	n	04	right	right	1.88399982452	1	0
1	32	1	22	0	f	n	04	left	right	7.53200006485	1	0
1	33	1	23	0	m	n	23	right	right	1.90100002289	4	NA
1	34	1	24	0	f	n	37	left	left	1.1289999485	2	1
1	35	1	25	0	f	n	22	left	left	1.04499983788	2	1
1	36	1	26	0	f	n	02	right	right	1.15999984741	1	0
1	37	1	27	0	m	n	10	right	right	1.75699996948	2	0
1	38	1	28	0	m	n	20	left	left	1.12400007248	1	1
1	39	1	29	0	m	n	23	left	left	2.60599994659	1	1
1	40	1	30	0	f	n	08	left	left	1.03500008583	2	1
1	41	1	31	0	m	n	10	left	right	1.57999992371	1	1
1	42	1	32	0	m	n	25	left	left	1.62599992752	1	1
1	43	1	33	0	f	n	01	right	right	1.05199980736	2	1
1	44	1	34	0	f	n	26	right	left	1.64699983597	1	0
1	45	1	35	0	f	n	04	right	right	5.03699994087	1	0
1	46	1	36	0	f	n	26	left	right	5.02300000191	2	1
1	47	1	37	0	m	n	71	right	left	6.2539999485	1	1
1	48	1	38	0	f	n	22	left	left	1.09399986267	1	0
1	49	1	39	0	f	n	22	left	left	0.998000144958	2	1
1	50	1	40	0	m	n	07	right	right	2.4390001297	2	0
1	51	1	41	0	m	n	47	left	left	4.76900005341	3	NA
1	52	1	42	0	m	n	21	left	left	1.24699997902	1	1
1	53	1	43	0	f	n	32	right	right	1.30799984932	2	1
1	54	1	44	0	m	n	05	left	left	1.29099988937	1	1
1	55	1	45	0	m	n	24	left	right	1.52300000191	1	1
1	56	1	46	0	m	n	46	left	right	1.96300005913	4	NA
1	57	1	47	0	m	n	28	left	left	1.15799999237	1	1
1	58	1	48	0	m	n	20	left	left	3.46199989319	1	1
1	59	1	49	0	m	n	21	right	right	2.84700012207	1	1
1	60	1	50	0	f	n	22	right	left	9.97399997711	2	1
1	61	1	51	0	m	n	38	right	right	1.36899995804	1	1
1	62	1	52	0	m	n	38	right	right	5.04799985886	2	0
1	63	1	53	0	f	n	58	left	right	2.00600004196	4	NA
1	64	1	54	0	m	n	36	right	right	6.28299999237	1	1
1	65	1	55	0	m	n	23	right	right	2.02799987793	1	1
1	66	1	56	0	m	n	28	left	left	1.06200003624	1	1
1	67	1	57	0	f	n	58	right	left	4.34200000763	1	0
1	68	1	58	0	f	n	08	right	right	0.97200012207	2	1
1	69	1	59	0	m	n	24	left	left	1.17100000381	1	1
1	70	1	60	0	f	n	32	right	right	1.10100007057	2	1
1	71	1	61	0	f	n	02	left	left	1.03200006485	2	1
1	72	1	62	0	f	n	08	right	right	0.800999879837	2	1
1	73	1	63	0	m	n	20	right	right	1.48099994659	1	1
1	74	1	64	0	m	n	49	left	right	1.257999897	1	1
1	75	1	65	0	f	n	58	right	right	1.09400010109	2	1
1	76	1	66	0	m	n	05	left	left	1.13100004196	1	1
1	77	1	67	0	m	n	33	right	right	1.10100007057	1	1
1	78	1	68	0	f	n	16	right	right	1.07899999619	2	1
1	79	1	69	0	f	n	14	left	left	1.29699993134	1	0
1	80	1	70	0	m	n	49	left	left	1.08200001717	1	1
1	81	2	1	0	f	n	18	left	left	1.50500011444	2	1
1	82	2	2	0	m	n	20	right	right	1.2990000248	1	1
1	83	2	3	1	m	n	10	left	left	4.21999979019	3	NA
1	84	2	4	0	m	n	21	right	right	3.02399992943	1	1
1	85	2	5	0	m	n	21	right	left	3.66300010681	1	1
1	86	2	6	0	m	n	49	right	right	1.13100004196	1	1
1	87	2	7	0	m	n	38	left	left	0.982999801636	1	1
1	88	2	8	0	m	n	25	left	left	2.25	1	1
1	89	2	9	0	m	n	07	left	left	1.30399990082	1	1
1	90	2	10	0	m	n	46	left	right	1.70600008965	1	1
1	91	2	11	0	f	n	02	right	left	1.46499991417	1	0
1	92	2	12	0	f	n	18	right	left	2.74400019646	2	1
1	93	2	13	0	m	n	05	right	right	1.25800013542	1	1
1	94	2	14	0	f	n	56	left	right	1.57400012016	2	1
1	95	2	15	0	m	n	28	right	right	1.14199995995	1	1
1	96	2	16	0	m	n	38	right	right	1.72000002861	1	1
1	97	2	17	0	f	n	31	left	left	3.93200016022	3	NA
1	98	2	18	0	f	n	58	left	left	1.01399993896	2	1
1	99	2	19	0	f	n	12	left	left	1.08700013161	2	1
1	100	2	20	0	m	n	47	right	right	1.00999999046	1	1
1	101	2	21	0	m	n	24	left	left	1.10800004005	1	1
1	102	2	22	0	m	n	38	right	right	1.03200006485	1	1
1	103	2	23	0	m	n	10	left	left	0.971999883652	1	1
1	104	2	24	0	f	n	08	right	right	1.01900005341	2	1
1	105	2	25	0	m	n	10	left	left	0.987999916077	1	1
1	106	2	26	0	f	n	32	right	right	1.08400011063	2	1
1	107	2	27	0	m	n	36	right	right	1.46599984169	1	1
1	108	2	28	0	m	n	71	left	right	3.4240000248	3	NA
1	109	2	29	0	m	n	36	right	right	1.60900020599	2	0
1	110	2	30	0	m	n	49	left	left	1.05100011826	1	1
1	111	2	31	0	m	n	25	right	right	1.01900005341	1	1
1	112	2	32	0	m	n	05	left	left	2.37900018692	1	1
1	113	2	33	0	f	n	12	left	left	1.007999897	2	1
1	114	2	34	0	m	n	47	left	left	2.17899990082	1	1
1	115	2	35	0	m	n	28	left	left	1.15799999237	1	1
1	116	2	36	0	f	n	16	right	right	1.06399989128	2	1
1	117	2	37	0	f	n	08	left	right	2.52399992943	1	0
1	118	2	38	0	f	n	12	left	left	0.895999908447	2	1
1	119	2	39	0	f	n	32	left	left	0.801000118256	2	1
1	120	2	40	0	f	n	56	left	left	0.804000139236	2	1
1	121	2	41	0	f	n	56	left	left	0.802000045776	2	1
1	122	2	42	0	f	n	19	left	left	1.01900005341	2	1
1	123	2	43	0	m	n	23	right	left	6.28499984741	2	NA
1	124	2	44	0	f	n	16	right	right	1.00100016594	2	1
1	125	2	45	0	m	n	49	left	right	3.14600014687	2	0
1	126	2	46	1	f	n	19	left	right	3.24499988556	3	NA
1	127	2	47	0	f	n	14	left	left	1.37800002098	2	1
1	128	2	48	0	m	n	07	left	left	1.14400005341	1	1
1	129	2	49	0	m	n	46	right	right	3.16200017929	2	NA
1	130	2	50	0	f	n	12	right	right	1.40700006485	2	1
1	131	2	51	0	f	n	26	right	right	1.24799990654	2	1
1	132	2	52	0	f	n	31	left	left	1.0529999733	2	1
1	133	2	53	0	m	n	46	left	left	0.84299993515	1	1
1	134	2	54	0	m	n	24	right	left	2.45199990273	1	1
