KI	Trl	Block	Trl/Bl	Crit	Sex	Emo	PicID	Cue	StimPos	RT	Ans	Correct
2	1	1	1	0	f	n	58	left	left	4.16799998283	2	1
2	2	1	2	0	f	n	22	right	right	2.08500003815	2	1
2	3	1	3	0	m	n	33	right	left	2.31599998474	1	1
2	4	1	4	0	m	n	21	right	right	2.01599979401	2	0
2	5	1	5	0	f	n	18	left	right	1.97699999809	1	0
2	6	1	6	0	f	n	31	left	left	2.1890001297	2	1
2	7	1	7	0	m	n	49	right	right	1.48300004005	1	1
2	8	1	8	0	f	n	14	right	right	1.25	1	0
2	9	1	9	0	m	n	38	left	left	2.93600010872	1	1
2	10	1	10	0	m	n	47	left	left	1.33099985123	1	1
2	11	1	1	0	f	n	32	right	right	1.46199989319	1	0
2	12	1	2	0	m	n	33	left	left	1.54899978638	1	1
2	13	1	3	0	f	n	58	left	left	1.42899990082	2	1
2	14	1	4	0	f	n	22	right	right	1.39800000191	2	1
2	15	1	5	0	m	n	71	right	right	1.34299993515	1	1
2	16	1	6	0	f	n	04	right	right	2.74799990654	1	0
2	17	1	7	0	m	n	10	right	right	1.25999999046	1	1
2	18	1	8	0	f	n	26	right	left	1.34299993515	2	1
2	19	1	9	0	m	n	21	left	left	1.21499991417	1	1
2	20	1	10	0	m	n	05	left	left	1.30700016022	1	1
2	21	1	11	0	m	n	28	left	right	8.2460000515	3	NA
2	22	1	12	0	m	n	10	left	left	1.5	1	1
2	23	1	13	0	m	n	33	left	left	4.4279999733	3	NA
2	24	1	14	0	f	n	02	right	right	2.93600010872	3	NA
2	25	1	15	0	m	n	49	right	right	2.15399980545	1	1
2	26	1	16	0	f	n	04	left	left	1.73999977112	2	1
2	27	1	17	0	f	n	26	right	right	1.31100010872	2	1
2	28	1	18	0	f	n	12	left	left	1.10299992561	2	1
2	29	1	19	0	m	n	71	left	left	4.70199990273	2	0
2	30	1	20	0	m	n	36	left	left	3.30500006676	2	0
2	31	1	21	0	m	n	07	right	right	1.25500011444	1	1
2	32	1	22	0	f	n	08	left	left	3.48199987411	2	NA
2	33	1	23	0	f	n	18	left	right	2.75999999046	1	0
2	34	1	24	0	f	n	31	left	left	1.22799992561	1	0
2	35	1	25	0	m	n	24	right	right	1.07500004768	1	1
2	36	1	26	0	f	n	56	right	left	1.49399995804	2	1
2	37	1	27	0	f	n	08	left	right	2.42899990082	2	NA
2	38	1	28	0	m	n	23	right	left	1.74000000954	1	1
2	39	1	29	0	f	n	19	left	left	1.9960000515	2	1
2	40	1	30	0	m	n	21	left	left	1.32700014114	1	1
2	41	1	31	0	f	n	32	right	right	1.41999983788	2	1
2	42	1	32	0	m	n	38	right	right	1.24000000954	1	1
2	43	1	33	0	m	n	05	left	left	1.49799990654	1	1
2	44	1	34	0	m	n	07	left	left	1.19099998474	1	1
2	45	1	35	0	f	n	58	right	right	2.54999995232	1	0
2	46	1	36	0	f	n	16	right	right	1.19199991226	2	1
2	47	1	37	0	m	n	10	left	right	3.54800009727	2	0
2	48	1	38	0	m	n	36	left	left	1.22599983215	1	1
2	49	1	39	0	m	n	33	left	left	0.891000032425	1	1
2	50	1	40	0	f	n	32	right	right	3.30799984932	2	1
2	51	1	41	0	f	n	12	right	right	1.51899981499	2	1
2	52	1	42	0	m	n	23	left	left	1.06799983978	1	1
2	53	1	43	0	f	n	56	left	left	2.13400006294	1	0
2	54	1	44	0	m	n	28	right	right	1.62299990654	1	1
2	55	1	45	0	m	n	49	left	right	1.21099996567	2	0
2	56	1	46	0	f	n	37	left	left	2.13800001144	2	1
2	57	1	47	0	f	n	37	left	left	1.51399993896	2	1
2	58	1	48	0	m	n	21	right	right	1.34299993515	2	0
2	59	1	49	0	f	n	01	left	right	3.13199996948	2	1
2	60	1	50	0	f	n	08	left	left	1.16300010681	2	1
2	61	1	51	0	f	n	01	right	right	1.13199996948	2	1
2	62	1	52	0	f	n	32	right	right	1.10000014305	1	0
2	63	1	53	0	f	n	02	left	left	1.17700004578	1	0
2	64	1	54	0	m	n	38	right	right	1.11100006104	1	1
2	65	1	55	0	f	n	12	left	left	0.911000013351	2	1
2	66	1	56	0	m	n	47	right	left	1.25	1	1
2	67	1	57	0	m	n	20	right	right	3.07699990273	2	NA
2	68	1	58	0	m	n	23	right	right	1.46799993515	1	1
2	69	1	59	0	m	n	47	right	right	1.02600002289	1	1
2	70	1	60	0	f	n	16	left	left	1.30400013924	1	0
2	71	1	61	0	f	n	19	right	right	0.800999879837	2	1
2	72	1	62	0	m	n	25	right	left	6.50500011444	3	NA
2	73	1	63	0	m	n	21	left	right	1.30999994278	1	1
2	74	1	64	0	m	n	49	right	right	0.801000118256	1	1
2	75	1	65	0	f	n	37	right	left	1.0720000267	2	1
2	76	1	66	0	f	n	01	left	left	1.0680000782	2	1
2	77	1	67	0	m	n	07	left	left	1.16000008583	1	1
2	78	1	68	0	f	n	04	right	left	3.34200000763	3	NA
2	79	1	69	0	m	n	49	right	right	1.33800005913	1	1
2	80	1	70	0	f	n	19	right	right	0.860000133514	2	1
2	81	2	1	0	f	n	16	right	right	1.04000020027	2	1
2	82	2	2	0	m	n	24	right	right	0.866999864578	1	1
2	83	2	3	0	f	n	26	left	left	0.927000045776	2	1
2	84	2	4	0	f	n	14	left	left	1.02599978447	2	1
2	85	2	5	0	m	n	20	right	right	1.0609998703	1	1
2	86	2	6	0	m	n	46	left	left	1.27399992943	1	1
2	87	2	7	0	m	n	05	right	right	1.13199996948	1	1
2	88	2	8	0	m	n	07	left	left	0.999000072479	1	1
2	89	2	9	0	f	n	31	left	right	1.03600001335	2	1
2	90	2	10	0	m	n	71	right	left	0.800999879837	1	1
2	91	2	11	0	f	n	02	left	right	1.7990000248	2	1
2	92	2	12	0	m	n	28	left	left	1.01399993896	1	1
2	93	2	13	0	m	n	25	left	left	0.875	1	1
2	94	2	14	0	m	n	71	left	left	0.81500005722	1	1
2	95	2	15	0	f	n	31	left	left	0.799999952316	2	1
2	96	2	16	0	m	n	10	right	right	2.71100020409	2	NA
2	97	2	17	0	m	n	10	left	right	3.40400004387	2	NA
2	98	2	18	0	m	n	23	right	left	2.57099986076	3	NA
2	99	2	19	0	m	n	38	left	left	2.03999996185	1	1
2	100	2	20	0	m	n	46	left	left	1.04999995232	1	1
2	101	2	21	0	m	n	24	left	left	1.39499998093	1	1
2	102	2	22	0	m	n	25	right	right	1.19400000572	1	1
2	103	2	23	0	f	n	19	right	right	1.05200004578	2	1
2	104	2	24	0	f	n	22	left	right	1.31799983978	1	0
2	105	2	25	0	m	n	24	right	right	0.867000102997	1	1
2	106	2	26	0	m	n	33	left	left	1.0680000782	1	1
2	107	2	27	0	f	n	01	right	right	1.11600017548	1	0
2	108	2	28	0	f	n	58	left	left	0.853999853134	2	1
2	109	2	29	0	m	n	46	right	right	1.65799999237	2	0
2	110	2	30	0	m	n	05	right	right	1.14699983597	1	1
2	111	2	31	0	f	n	31	left	left	1.0680000782	2	1
2	112	2	32	0	m	n	46	right	right	1.43400001526	2	0
2	113	2	33	0	m	n	25	left	left	0.93799996376	1	1
2	114	2	34	0	f	n	04	left	left	1.48399996758	1	0
2	115	2	35	0	f	n	02	right	left	1.1130001545	2	1
2	116	2	36	0	f	n	18	left	left	3.60800004005	2	NA
2	117	2	37	0	f	n	04	right	right	1.69199991226	2	1
2	118	2	38	0	f	n	37	left	left	1.28900003433	2	1
2	119	2	39	0	f	n	56	left	left	1.35199999809	2	1
2	120	2	40	0	f	n	14	right	right	1.31399989128	1	0
2	121	2	41	0	f	n	56	left	left	0.967000007629	2	1
2	122	2	42	0	f	n	18	right	right	1.07999992371	2	1
2	123	2	43	0	f	n	12	right	right	1.11899995804	2	1
2	124	2	44	0	f	n	14	right	right	1.26600003242	2	1
2	125	2	45	0	m	n	20	left	right	0.917000055313	1	1
2	126	2	46	0	m	n	36	left	right	1.22600007057	1	1
2	127	2	47	0	f	n	56	right	right	1.41600012779	1	0
2	128	2	48	0	f	n	58	left	left	0.981999874115	2	1
2	129	2	49	0	m	n	20	left	left	1.33200001717	1	1
2	130	2	50	0	m	n	71	left	left	1.40700006485	1	1
2	131	2	51	0	f	n	26	right	right	3.72699999809	2	NA
2	132	2	52	0	m	n	23	right	right	1.08599996567	2	0
2	133	2	53	0	m	n	47	right	left	1.05900001526	1	1
2	134	2	54	0	m	n	28	right	right	1.38199996948	2	0
2	135	2	55	0	f	n	22	left	left	1.12599992752	2	1
2	136	2	56	1	m	n	38	left	left	2.07300019264	2	NA
2	137	2	57	0	f	n	16	right	right	2.632999897	2	1
2	138	2	58	0	f	n	18	right	left	0.801000118256	2	1
2	139	2	59	0	m	n	28	right	right	1.10700011253	1	1
2	140	2	60	0	f	n	32	left	left	0.907999992371	1	0
2	141	2	61	0	m	n	05	right	right	1.08200001717	1	1
2	142	2	62	0	m	n	36	left	left	0.857999801636	1	1
2	143	2	63	1	f	n	14	left	right	2.45000004768	2	NA
2	144	2	64	0	f	n	16	left	left	1.17699980736	1	0
2	145	2	65	0	m	n	24	right	left	1.77999997139	1	1
2	146	2	66	0	f	n	26	right	right	0.863000154495	2	1
2	147	2	67	0	m	n	47	right	right	0.799999952316	1	1
2	148	2	68	0	m	n	20	left	right	2.48699998856	1	1
2	149	2	69	0	f	n	08	left	left	1.72399997711	1	0
2	150	2	70	0	f	n	01	right	left	1.0529999733	2	1
2	151	2	71	0	m	n	36	left	left	1.0490000248	1	1
2	152	2	72	0	m	n	07	right	right	1.09600019455	1	1
2	153	2	73	0	f	n	22	right	right	1.22300004959	1	0
2	154	2	74	0	f	n	12	right	right	1.07100009918	2	1
2	155	2	75	0	f	n	37	right	left	2.23300004005	2	NA
2	156	2	76	0	m	n	46	left	left	1.11500000954	1	1
2	157	2	77	0	m	n	25	right	right	1.14599990845	2	0
2	158	2	78	0	f	n	19	left	left	2.66900014877	2	1
2	159	2	79	0	f	n	08	right	right	1.19600009918	1	0
2	160	2	80	0	f	n	02	right	right	1.14499998093	1	0
2	161	3	1	0	f	n	04	left	left	1.5609998703	2	1
2	162	3	2	0	m	n	24	right	right	0.883000135422	1	1
2	163	3	3	0	f	n	58	left	left	0.967000007629	2	1
2	164	3	4	1	m	n	28	right	left	4.61500000954	2	NA
2	165	3	5	0	f	n	19	right	right	3.37199997902	2	1
2	166	3	6	0	f	n	01	right	right	1.13199996948	1	0
2	167	3	7	0	f	n	19	left	left	1.06900000572	2	1
2	168	3	8	0	f	n	14	left	left	1.37699985504	2	1
2	169	3	9	0	m	n	23	left	left	1.10100007057	1	1
2	170	3	10	0	f	n	18	left	right	1.07999992371	2	1
2	171	3	11	0	m	n	71	right	right	1.03899979591	1	1
2	172	3	12	0	f	n	37	right	right	3.22600007057	2	1
2	173	3	13	0	f	n	32	left	left	0.876999855042	2	1
2	174	3	14	0	f	n	01	right	right	1.29299998283	1	0
2	175	3	15	0	f	n	08	left	left	1.96399998665	2	1
2	176	3	16	0	m	n	20	right	right	1.10899996758	1	1
2	177	3	17	0	f	n	04	left	left	1.67600011826	2	1
2	178	3	18	0	f	n	12	right	right	1.07100009918	2	1
2	179	3	19	0	m	n	33	left	left	0.800999879837	1	1
2	180	3	20	0	f	n	02	right	left	0.969999790192	2	1
2	181	3	21	0	f	n	01	right	right	1.83700013161	2	1
2	182	3	22	0	m	n	47	left	left	1.18600010872	1	1
2	183	3	23	0	f	n	18	left	left	1.04800009727	2	1
2	184	3	24	0	m	n	21	right	left	1.32699990273	1	1
2	185	3	25	0	m	n	49	left	left	1.01900005341	1	1
2	186	3	26	0	m	n	05	left	left	1.56299996376	1	1
2	187	3	27	0	m	n	38	right	right	0.888000011444	1	1
2	188	3	28	0	f	n	22	left	left	0.800999879837	2	1
2	189	3	29	0	f	n	12	left	left	0.846999883652	2	1
2	190	3	30	0	f	n	08	left	left	1.06699991226	2	1
2	191	3	31	0	f	n	16	right	right	1.07999992371	2	1
2	192	3	32	0	m	n	10	right	right	0.828999996185	2	0
2	193	3	33	1	f	n	12	right	right	4.71899986267	1	NA
2	194	3	34	0	f	n	08	left	left	1.10099983215	2	1
2	195	3	35	0	m	n	36	left	left	1.37000012398	1	1
2	196	3	36	0	f	n	31	left	left	5.19599986076	1	NA
2	197	3	37	0	f	n	02	right	right	1.81700015068	2	1
2	198	3	38	0	f	n	56	right	right	2.23000001907	1	0
2	199	3	39	0	m	n	24	right	right	2.27499985695	2	NA
2	200	3	40	0	f	n	12	left	right	1.4240000248	2	1
2	201	3	41	0	m	n	28	right	right	2.2460000515	1	1
2	202	3	42	0	m	n	36	right	right	2.08999991417	2	0
2	203	3	43	0	m	n	46	right	right	1.22600007057	1	1
2	204	3	44	0	m	n	46	right	right	1.35599994659	2	0
2	205	3	45	0	f	n	56	right	right	1.35100007057	2	1
2	206	3	46	0	m	n	49	left	left	1.77100014687	1	1
2	207	3	47	0	m	n	10	left	right	2.28299999237	2	NA
2	208	3	48	0	m	n	38	left	left	1.86299991608	1	1
2	209	3	49	0	f	n	22	right	right	0.871000051498	1	0
2	210	3	50	0	f	n	37	left	left	1.0490000248	2	1
2	211	3	51	0	f	n	02	right	right	1.28999996185	2	1
2	212	3	52	0	m	n	25	right	right	1.16400003433	2	0
2	213	3	53	0	f	n	14	left	right	0.801000118256	2	1
2	214	3	54	0	m	n	07	left	left	0.871999979019	1	1
2	215	3	55	0	m	n	25	right	left	0.858999967575	1	1
2	216	3	56	0	m	n	07	right	right	1.33500003815	1	1
2	217	3	57	0	m	n	05	left	left	0.921999931335	1	1
2	218	3	58	0	f	n	02	right	right	1.04999995232	2	1
2	219	3	59	0	f	n	08	right	left	2.01200008392	2	NA
2	220	3	60	0	f	n	14	left	right	2.48000001907	1	NA
2	221	3	61	0	m	n	20	left	left	1.97199988365	1	1
2	222	3	62	0	m	n	36	right	right	1.69000005722	2	0
2	223	3	63	0	m	n	23	right	left	0.973000049591	1	1
2	224	3	64	0	m	n	21	left	left	1.0720000267	1	1
2	225	3	65	0	f	n	12	right	left	1.10299992561	2	1
2	226	3	66	0	f	n	26	left	left	1.02300000191	2	1
2	227	3	67	0	m	n	07	left	left	0.801000118256	1	1
2	228	3	68	0	m	n	71	right	right	0.915999889374	1	1
2	229	3	69	0	f	n	16	right	left	2.52099990845	2	1
2	230	3	70	0	m	n	21	right	right	0.927999973297	2	0
2	231	3	71	0	m	n	46	left	left	1.24099993706	2	0
2	232	3	72	0	f	n	26	right	right	0.927000045776	1	0
2	233	3	73	0	m	n	47	right	right	1.07399988174	1	1
2	234	3	74	0	m	n	05	left	right	2.13899993896	2	0
2	235	3	75	0	m	n	25	left	right	0.906999826431	2	0
2	236	3	76	0	m	n	33	left	right	0.800999879837	2	0
2	237	3	77	0	m	n	71	left	left	1.00200009346	2	0
2	238	3	78	0	f	n	32	left	left	1.01999998093	2	1
2	239	3	79	0	m	n	46	left	left	2.15400004387	2	NA
2	240	3	80	0	f	n	31	right	right	1.30800008774	2	1
2	241	4	1	0	m	n	21	right	right	1.29200005531	1	1
2	242	4	2	0	m	n	47	right	right	0.835000038147	1	1
2	243	4	3	0	m	n	24	left	left	0.851999998093	1	1
2	244	4	4	0	f	n	04	left	left	0.844000101089	2	1
2	245	4	5	0	m	n	23	left	left	0.876000165939	1	1
2	246	4	6	0	m	n	49	right	left	1.03500008583	1	1
2	247	4	7	0	m	n	46	right	right	0.873999834061	2	0
2	248	4	8	0	m	n	71	right	left	2.04699993134	2	NA
2	249	4	9	1	m	n	07	right	right	2.15400004387	2	NA
2	250	4	10	0	f	n	16	left	left	1.43099999428	2	1
2	251	4	11	0	f	n	32	right	right	2.1400001049	1	NA
2	252	4	12	0	f	n	19	left	left	3.90100002289	1	0
2	253	4	13	0	m	n	05	right	right	1.16300010681	1	1
2	254	4	14	0	f	n	18	left	left	0.825000047684	2	1
2	255	4	15	0	f	n	58	left	left	1.11899995804	2	1
2	256	4	16	0	m	n	24	right	right	1.09100008011	1	1
2	257	4	17	0	f	n	56	right	right	1.06299996376	2	1
2	258	4	18	0	f	n	16	left	left	1.00199985504	2	1
2	259	4	19	0	f	n	04	left	left	0.801000118256	2	1
2	260	4	20	0	f	n	26	right	left	1.03900003433	2	1
2	261	4	21	0	f	n	26	right	right	1.05499982834	2	1
2	262	4	22	0	f	n	18	left	left	2.37599992752	2	1
2	263	4	23	0	m	n	33	left	left	0.956000089645	1	1
2	264	4	24	0	m	n	23	left	left	1.08500003815	1	1
2	265	4	25	0	f	n	31	right	right	1.08600020409	1	0
2	266	4	26	0	m	n	28	left	left	1.01399993896	1	1
2	267	4	27	0	f	n	26	left	left	1.10199999809	2	1
2	268	4	28	0	m	n	28	left	left	1.15799999237	1	1
2	269	4	29	0	f	n	14	left	right	1.15399980545	1	0
2	270	4	30	0	f	n	32	right	right	1.35700011253	2	1
2	271	4	31	0	f	n	14	right	right	1.47399997711	1	0
2	272	4	32	0	f	n	58	right	left	2.375	2	1
2	273	4	33	0	m	n	28	left	right	1.12600016594	1	1
2	274	4	34	0	m	n	47	left	right	2.78500008583	2	NA
2	275	4	35	0	f	n	19	right	right	1.94799995422	2	1
2	276	4	36	0	m	n	33	right	right	1.24500012398	1	1
2	277	4	37	0	m	n	25	right	right	1.35500001907	2	0
2	278	4	38	0	m	n	33	left	left	1.14900016785	1	1
2	279	4	39	1	f	n	01	right	left	4.17300009727	1	NA
2	280	4	40	0	f	n	19	right	right	1.43699979782	2	1
2	281	4	41	0	m	n	36	left	left	1.1779999733	1	1
2	282	4	42	0	m	n	47	right	right	1.10599994659	2	0
2	283	4	43	0	f	n	37	left	left	1.08299994469	2	1
2	284	4	44	0	f	n	22	left	right	2.13399982452	2	NA
2	285	4	45	0	m	n	24	left	left	2.22799992561	1	1
2	286	4	46	0	m	n	23	left	right	1.27600002289	1	1
2	287	4	47	0	m	n	36	left	left	0.858000040054	1	1
2	288	4	48	0	m	n	38	right	right	1.03299999237	2	0
2	289	4	49	0	f	n	31	left	right	2.33299994469	1	0
2	290	4	50	0	m	n	20	right	right	1.09200000763	2	0
2	291	4	51	0	m	n	38	right	left	1.40000009537	1	1
2	292	4	52	0	f	n	58	left	left	0.966000080109	2	1
2	293	4	53	0	f	n	22	right	left	1.31900000572	2	1
2	294	4	54	0	f	n	56	left	right	1.15900015831	1	0
2	295	4	55	0	f	n	56	right	right	2.3259999752	2	1
2	296	4	56	0	m	n	20	right	right	1.06100010872	1	1
2	297	4	57	0	m	n	38	right	right	1.09600019455	1	1
2	298	4	58	0	m	n	07	right	right	1.11199998856	1	1
2	299	4	59	0	f	n	01	right	right	0.860000133514	2	1
2	300	4	60	0	f	n	32	right	right	0.891999959946	2	1
2	301	4	61	0	f	n	37	left	left	0.984999895096	2	1
2	302	4	62	0	m	n	49	left	right	0.825999975204	1	1
2	303	4	63	0	f	n	16	right	right	1.36199998856	2	1
2	304	4	64	0	f	n	04	left	left	2.71600008011	3	NA
2	305	4	65	0	m	n	71	right	right	1.47199988365	1	1
2	306	4	66	0	f	n	18	left	left	0.799999952316	1	0
2	307	4	67	0	f	n	31	right	right	1.04500007629	2	1
2	308	4	68	0	m	n	10	right	right	1.5649998188	1	1
2	309	4	69	0	m	n	49	left	left	1.13100004196	1	1
2	310	4	70	0	f	n	37	left	left	1.16299986839	2	1
2	311	4	71	0	m	n	25	left	left	1.01799988747	1	1
2	312	4	72	0	m	n	10	left	left	2.17300009727	3	NA
2	313	4	73	0	f	n	22	right	right	1.34999990463	2	1
2	314	4	74	0	m	n	05	right	left	1.41899991035	1	1
2	315	4	75	0	m	n	10	left	left	5.72500014305	1	1
2	316	4	76	0	f	n	58	left	left	1.20700001717	2	1
2	317	4	77	0	m	n	21	left	left	1.07100009918	1	1
2	318	4	78	0	m	n	20	left	left	1.49199986458	1	1
2	319	4	79	0	f	n	02	right	right	1.91300010681	1	0
2	320	4	80	0	f	n	08	right	right	1.06700015068	2	1
